Set,Threshold,R2,P,Coefficient,Standard.Error,Num_SNP,Phenotype
Base,5e-8,1.78709e-4,0.0322159,-10.8709,5.07579,381,Evangelou2018dbp
Base,5e-8,3.11821e-5,0.370721,-51.8183,57.8896,449,Yengo2018bmi
Base,5e-8,2.9478e-6,0.783264,-1.8121,6.58782,111,Xue2018diab
Base,5e-8,4.47708e-5,0.283547,-12.5024,11.6585,20,Niarchou2020meat
Base,5e-8,1.73576e-5,0.504295,10.5896,15.8587,41,Niarchou2020fish
Base,5e-8,6.30752e-7,0.8987,-1.11258,8.73956,84,Willer2013hdl
Base,5e-8,9.55499e-5,0.117205,-12.6695,8.0872,70,Willer2013ldl
Base,5e-8,6.37075e-5,0.200766,-11.5934,9.06178,80,Willer2013tc
Base,5e-8,8.33217e-6,0.64396,-3.11093,6.73115,52,Willer2013tg
Base,5e-8,3.59468e-6,0.761187,6.28165,20.6686,58,Dashti2019slepdur
Base,5e-8,2.40874e-6,0.803547,3.29774,13.2568,18,Klimentidis2018mvpa
Base,5e-8,4.02348e-5,0.309267,-11.1035,10.9205,13,Day2018sociso
Base,5e-8,1.74171e-5,0.503508,-18.8522,28.1805,35,Wells2019hdiff
Base,5e-8,1.06816e-4,0.0981133,-5.01417,3.03142,392,Evangelou2018sbp
Base,5e-8,9.18895e-5,0.12507,-6.21784,4.05379,332,Evangelou2018pp
Base,5e-8,1.4022e-5,0.548336,31.1366,51.8723,71,Liu2019drnkwk23andMe
Base,5e-8,1.11353e-4,0.0907612,-30.4396,17.9967,39,Liu2019smkcpd23andMe
Base,5e-8,2.36261e-5,0.435879,-93.4056,119.878,307,Liu2019smkint23andMe
Base,5e-8,1.49086e-5,0.535948,57.0948,92.2444,139,Jansen2018insomnia23andMe
Base,5e-8,3.29766e-5,0.35734,-14.0955,15.3138,77,Howard2019dep23andMe
Base,5e-8,1.50148e-4,0.0498166,16.4253,8.37369,10,SanchezRoige2019auditt23andMe
Base,5e-8,8.32211e-4,3.80196e-6,-364.625,78.8903,424,Lee2018education23andMe
